delta,adjPval,mLassoRad,minDmrSep,TP,FP,FN,Pwr,Precis,AuPR,MCC,F1
0.15,0.001,375,750,200 (9.98),8 (3.29),300 (9.98),0.4 (0.02),0.96 (0.01),0.56 (0.01),0.58 (0.01),0.56 (0.02)
0.15,0.001,375,1e3,201 (10.32),9 (3.36),299 (10.32),0.4 (0.02),0.96 (0.01),0.56 (0.01),0.58 (0.01),0.56 (0.02)
0.15,0.001,700,200,289 (3.97),21 (2),211 (3.97),0.58 (0.01),0.94 (0.01),0.69 (0.01),0.7 (0.01),0.71 (0.01)
0.15,0.001,700,250,289 (3.97),21 (2),211 (3.97),0.58 (0.01),0.94 (0.01),0.69 (0.01),0.7 (0.01),0.71 (0.01)
0.15,0.001,700,500,290 (4.04),21 (2.17),210 (4.04),0.58 (0.01),0.94 (0.01),0.69 (0.01),0.7 (0.01),0.71 (0.01)
0.15,0.001,700,750,290 (3.67),21 (2.17),210 (3.67),0.58 (0.01),0.94 (0.01),0.69 (0.01),0.7 (0.01),0.71 (0.01)
0.15,0.001,700,1e3,290 (3.83),22 (1.95),210 (3.83),0.58 (0.01),0.94 (0.01),0.69 (0.01),0.7 (0.01),0.71 (0.01)
0.15,0.001,1e3,200,355 (7.95),38 (7.84),145 (7.95),0.71 (0.02),0.92 (0.01),0.78 (0.01),0.78 (0.01),0.8 (0.01)
0.15,0.001,1e3,250,355 (7.95),38 (7.84),145 (7.95),0.71 (0.02),0.92 (0.01),0.78 (0.01),0.78 (0.01),0.8 (0.01)
0.15,0.001,1e3,500,355 (8.32),38 (7.7),145 (8.32),0.71 (0.02),0.92 (0.01),0.78 (0.01),0.78 (0.01),0.8 (0.01)
0.15,0.001,1e3,750,355 (8.32),39 (7.89),145 (8.32),0.71 (0.02),0.92 (0.01),0.78 (0.01),0.78 (0.01),0.8 (0.01)
0.15,0.001,1e3,1e3,355 (8.41),39 (7.89),145 (8.41),0.71 (0.02),0.92 (0.01),0.78 (0.01),0.78 (0.01),0.8 (0.01)
0.15,0.01,375,200,218 (7.89),9 (3.7),282 (7.89),0.44 (0.02),0.96 (0.01),0.59 (0.01),0.61 (0.01),0.6 (0.01)
0.15,0.01,375,250,218 (7.89),9 (3.7),282 (7.89),0.44 (0.02),0.96 (0.01),0.59 (0.01),0.61 (0.01),0.6 (0.01)
0.15,0.01,375,500,219 (8),9 (3.7),281 (8),0.44 (0.02),0.96 (0.01),0.59 (0.01),0.61 (0.01),0.6 (0.01)
0.15,0.01,375,750,219 (8),9 (3.7),281 (8),0.44 (0.02),0.96 (0.01),0.59 (0.01),0.61 (0.01),0.6 (0.01)
0.15,0.01,375,1e3,220 (8.44),9 (3.78),280 (8.44),0.44 (0.02),0.96 (0.01),0.59 (0.01),0.61 (0.01),0.6 (0.01)
0.15,0.01,700,200,319 (5.24),21 (2.19),181 (5.24),0.64 (0.01),0.95 (0.01),0.73 (0.01),0.74 (0.01),0.76 (0.01)
0.15,0.01,700,250,319 (5.24),21 (2.19),181 (5.24),0.64 (0.01),0.95 (0.01),0.73 (0.01),0.74 (0.01),0.76 (0.01)
0.15,0.01,700,500,319 (5.24),22 (2.3),181 (5.24),0.64 (0.01),0.95 (0.01),0.73 (0.01),0.74 (0.01),0.76 (0.01)
0.15,0.01,700,750,319 (5.03),22 (2.3),181 (5.03),0.64 (0.01),0.95 (0.01),0.73 (0.01),0.74 (0.01),0.76 (0.01)
0.15,0.01,700,1e3,319 (5.36),22 (2),181 (5.36),0.64 (0.01),0.95 (0.01),0.73 (0.01),0.74 (0.01),0.76 (0.01)
0.15,0.01,1e3,200,389 (5.39),39 (7.5),111 (5.39),0.78 (0.01),0.93 (0.01),0.83 (0.01),0.82 (0.01),0.84 (0.01)
0.15,0.01,1e3,250,389 (5.39),39 (7.5),111 (5.39),0.78 (0.01),0.93 (0.01),0.83 (0.01),0.82 (0.01),0.84 (0.01)
0.15,0.01,1e3,500,389 (5.86),39 (7.35),111 (5.86),0.78 (0.01),0.93 (0.01),0.83 (0.01),0.82 (0.01),0.84 (0.01)
0.15,0.01,1e3,750,389 (5.86),39 (7.56),111 (5.86),0.78 (0.01),0.93 (0.01),0.83 (0.01),0.82 (0.01),0.84 (0.01)
0.15,0.01,1e3,1e3,389 (5.72),39 (7.56),111 (5.72),0.78 (0.01),0.93 (0.01),0.83 (0.01),0.82 (0.01),0.84 (0.01)
0.15,0.05,375,200,229 (8.76),9 (3.7),271 (8.76),0.46 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.01)
0.15,0.05,375,250,229 (8.76),9 (3.7),271 (8.76),0.46 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.01)
0.15,0.05,375,500,230 (9.25),9 (3.7),270 (9.25),0.46 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.01)
0.15,0.05,375,750,230 (9.25),9 (3.7),270 (9.25),0.46 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.01)
0.15,0.05,375,1e3,231 (9.68),9 (3.78),269 (9.68),0.46 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.02)
0.15,0.05,700,200,332 (6.88),22 (2.35),168 (6.88),0.66 (0.01),0.95 (0.01),0.75 (0.01),0.76 (0.01),0.78 (0.01)
0.15,0.05,700,250,332 (6.88),22 (2.35),168 (6.88),0.66 (0.01),0.95 (0.01),0.75 (0.01),0.76 (0.01),0.78 (0.01)
0.15,0.05,700,500,333 (6.46),22 (2.39),167 (6.46),0.67 (0.01),0.95 (0.01),0.75 (0.01),0.76 (0.01),0.78 (0.01)
0.15,0.05,700,750,334 (5.63),22 (2.39),166 (5.63),0.67 (0.01),0.95 (0.01),0.75 (0.01),0.76 (0.01),0.78 (0.01)
0.15,0.05,700,1e3,334 (5.86),23 (2.19),166 (5.86),0.67 (0.01),0.95 (0.01),0.75 (0.01),0.76 (0.01),0.78 (0.01)
0.15,0.05,1e3,200,404 (7.44),40 (8.47),96 (7.44),0.81 (0.01),0.93 (0.01),0.85 (0.01),0.84 (0.01),0.86 (0.01)
0.15,0.05,1e3,250,405 (7.09),40 (8.47),95 (7.09),0.81 (0.01),0.93 (0.01),0.85 (0.01),0.84 (0.01),0.86 (0.01)
0.15,0.05,1e3,500,405 (7.8),40 (8.31),95 (7.8),0.81 (0.02),0.93 (0.01),0.85 (0.01),0.84 (0.01),0.86 (0.01)
0.15,0.05,1e3,750,406 (7.79),40 (8.53),94 (7.79),0.81 (0.02),0.93 (0.01),0.85 (0.01),0.84 (0.01),0.86 (0.01)
0.15,0.05,1e3,1e3,406 (7.6),40 (8.53),94 (7.6),0.81 (0.02),0.93 (0.01),0.85 (0.01),0.84 (0.01),0.86 (0.01)
0.15,0.1,375,200,230 (8.41),11 (3.96),270 (8.41),0.46 (0.02),0.96 (0.01),0.61 (0.01),0.62 (0.01),0.62 (0.01)
0.15,0.1,375,250,231 (8.29),11 (3.96),269 (8.29),0.46 (0.02),0.96 (0.01),0.61 (0.01),0.62 (0.01),0.62 (0.01)
0.15,0.1,375,500,231 (8.73),11 (3.96),269 (8.73),0.46 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.01)
0.15,0.1,375,750,232 (8.96),11 (3.96),268 (8.96),0.46 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.01)
0.15,0.1,375,1e3,233 (9.48),11 (4.06),267 (9.48),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.02)
0.15,0.1,700,200,336 (6.22),22 (2.35),164 (6.22),0.67 (0.01),0.95 (0.01),0.76 (0.01),0.77 (0.01),0.78 (0.01)
0.15,0.1,700,250,336 (6.22),22 (2.35),164 (6.22),0.67 (0.01),0.95 (0.01),0.76 (0.01),0.77 (0.01),0.78 (0.01)
0.15,0.1,700,500,337 (5.9),22 (2.39),163 (5.9),0.67 (0.01),0.95 (0.01),0.76 (0.01),0.77 (0.01),0.78 (0.01)
0.15,0.1,700,750,337 (5.4),22 (2.39),163 (5.4),0.67 (0.01),0.95 (0.01),0.76 (0.01),0.77 (0.01),0.78 (0.01)
0.15,0.1,700,1e3,337 (5.7),23 (2.19),163 (5.7),0.67 (0.01),0.95 (0.01),0.76 (0.01),0.77 (0.01),0.78 (0.01)
0.15,0.1,1e3,200,409 (7.83),40 (8.58),91 (7.83),0.82 (0.02),0.93 (0.01),0.85 (0.01),0.85 (0.01),0.87 (0.01)
0.15,0.1,1e3,250,409 (7.5),40 (8.58),91 (7.5),0.82 (0.01),0.93 (0.01),0.85 (0.01),0.85 (0.01),0.87 (0.01)
0.15,0.1,1e3,500,410 (8.29),40 (8.44),90 (8.29),0.82 (0.02),0.93 (0.01),0.85 (0.01),0.85 (0.01),0.87 (0.01)
0.15,0.1,1e3,750,410 (8.25),40 (8.65),90 (8.25),0.82 (0.02),0.93 (0.01),0.85 (0.01),0.85 (0.01),0.87 (0.01)
0.15,0.1,1e3,1e3,410 (8.11),40 (8.65),90 (8.11),0.82 (0.02),0.93 (0.01),0.85 (0.01),0.85 (0.01),0.87 (0.01)
0.2,0.001,375,200,220 (8.38),9 (3.7),280 (8.38),0.44 (0.02),0.96 (0.01),0.59 (0.01),0.61 (0.01),0.6 (0.01)
0.2,0.001,375,250,220 (8.38),9 (3.7),280 (8.38),0.44 (0.02),0.96 (0.01),0.59 (0.01),0.61 (0.01),0.6 (0.01)
0.2,0.001,375,500,221 (8.51),9 (3.7),279 (8.51),0.44 (0.02),0.96 (0.01),0.59 (0.01),0.61 (0.01),0.6 (0.01)
0.2,0.001,375,750,221 (8.51),9 (3.7),279 (8.51),0.44 (0.02),0.96 (0.01),0.59 (0.01),0.61 (0.01),0.6 (0.01)
0.2,0.001,375,1e3,222 (8.93),9 (3.78),278 (8.93),0.44 (0.02),0.96 (0.01),0.59 (0.01),0.61 (0.01),0.6 (0.01)
0.2,0.001,700,200,322 (5.94),22 (2.07),178 (5.94),0.64 (0.01),0.95 (0.01),0.74 (0.01),0.75 (0.01),0.76 (0.01)
0.2,0.001,700,250,322 (5.94),22 (2.07),178 (5.94),0.64 (0.01),0.95 (0.01),0.74 (0.01),0.75 (0.01),0.76 (0.01)
0.2,0.001,700,500,322 (5.52),22 (2.17),178 (5.52),0.64 (0.01),0.95 (0.01),0.74 (0.01),0.75 (0.01),0.76 (0.01)
0.2,0.001,700,750,322 (5.37),22 (2.17),178 (5.37),0.64 (0.01),0.95 (0.01),0.74 (0.01),0.75 (0.01),0.76 (0.01)
0.2,0.001,700,1e3,322 (5.72),22 (1.92),178 (5.72),0.64 (0.01),0.95 (0.01),0.74 (0.01),0.75 (0.01),0.76 (0.01)
0.2,0.001,1e3,200,393 (6.91),39 (6.96),107 (6.91),0.79 (0.01),0.93 (0.01),0.83 (0.01),0.83 (0.01),0.85 (0.01)
0.2,0.001,1e3,250,393 (6.91),39 (6.96),107 (6.91),0.79 (0.01),0.93 (0.01),0.83 (0.01),0.83 (0.01),0.85 (0.01)
0.2,0.001,1e3,500,393 (7.28),39 (6.84),107 (7.28),0.79 (0.01),0.93 (0.01),0.83 (0.01),0.83 (0.01),0.85 (0.01)
0.2,0.001,1e3,750,393 (7.28),40 (7.06),107 (7.28),0.79 (0.01),0.93 (0.01),0.83 (0.01),0.83 (0.01),0.85 (0.01)
0.2,0.001,1e3,1e3,392 (7.44),40 (7.06),108 (7.44),0.78 (0.01),0.93 (0.01),0.83 (0.01),0.82 (0.01),0.85 (0.01)
0.2,0.01,375,200,230 (8.41),9 (3.7),270 (8.41),0.46 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.01)
0.2,0.01,375,250,230 (8.41),9 (3.7),270 (8.41),0.46 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.01)
0.2,0.01,375,500,231 (8.88),9 (3.7),269 (8.88),0.46 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.01)
0.2,0.01,375,750,231 (9.03),9 (3.7),269 (9.03),0.46 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.01)
0.2,0.01,375,1e3,232 (9.42),9 (3.78),268 (9.42),0.46 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.02)
0.2,0.01,700,200,336 (5.94),22 (1.92),164 (5.94),0.67 (0.01),0.95 (0.01),0.76 (0.01),0.77 (0.01),0.78 (0.01)
0.2,0.01,700,250,336 (5.94),22 (1.92),164 (5.94),0.67 (0.01),0.95 (0.01),0.76 (0.01),0.77 (0.01),0.78 (0.01)
0.2,0.01,700,500,337 (5.54),22 (2),163 (5.54),0.67 (0.01),0.95 (0.01),0.76 (0.01),0.77 (0.01),0.78 (0.01)
0.2,0.01,700,750,337 (5.03),22 (2),163 (5.03),0.67 (0.01),0.95 (0.01),0.76 (0.01),0.77 (0.01),0.79 (0.01)
0.2,0.01,700,1e3,337 (5.36),22 (1.82),163 (5.36),0.67 (0.01),0.95 (0.01),0.76 (0.01),0.77 (0.01),0.78 (0.01)
0.2,0.01,1e3,200,410 (7.8),40 (6.87),90 (7.8),0.82 (0.02),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.2,0.01,1e3,250,410 (7.43),40 (6.87),90 (7.43),0.82 (0.01),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.2,0.01,1e3,500,411 (8.2),40 (6.69),89 (8.2),0.82 (0.02),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.2,0.01,1e3,750,411 (8.15),40 (6.91),89 (8.15),0.82 (0.02),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.2,0.01,1e3,1e3,410 (8.35),40 (6.91),90 (8.35),0.82 (0.02),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.2,0.05,375,200,235 (9.58),10 (3.54),265 (9.58),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.05,375,250,235 (9.48),10 (3.54),265 (9.48),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.05,375,500,236 (9.88),10 (3.54),264 (9.88),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.05,375,750,237 (10.06),10 (3.54),263 (10.06),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.05,375,1e3,237 (10.5),10 (3.63),263 (10.5),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.05,700,200,344 (6.58),22 (2.19),156 (6.58),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.79 (0.01)
0.2,0.05,700,250,344 (6.58),22 (2.19),156 (6.58),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.79 (0.01)
0.2,0.05,700,500,344 (6.16),23 (2.19),156 (6.16),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.79 (0.01)
0.2,0.05,700,750,345 (5.64),23 (2.19),155 (5.64),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.79 (0.01)
0.2,0.05,700,1e3,344 (5.94),23 (2.12),156 (5.94),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.79 (0.01)
0.2,0.05,1e3,200,415 (8.29),40 (7.4),85 (8.29),0.83 (0.02),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.2,0.05,1e3,250,415 (8.29),40 (7.4),85 (8.29),0.83 (0.02),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.2,0.05,1e3,500,415 (9.1),41 (7.22),85 (9.1),0.83 (0.02),0.93 (0.01),0.86 (0.02),0.85 (0.01),0.87 (0.01)
0.2,0.05,1e3,750,416 (9.01),41 (7.45),84 (9.01),0.83 (0.02),0.93 (0.01),0.86 (0.02),0.85 (0.01),0.88 (0.01)
0.2,0.05,1e3,1e3,415 (9.31),41 (7.45),85 (9.31),0.83 (0.02),0.93 (0.01),0.86 (0.02),0.85 (0.01),0.87 (0.01)
0.2,0.1,375,200,236 (9.48),11 (3.54),264 (9.48),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.1,375,250,236 (9.36),11 (3.54),264 (9.36),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.1,375,500,237 (9.79),11 (3.54),263 (9.79),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.1,375,750,237 (9.95),11 (3.54),263 (9.95),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.1,375,1e3,238 (10.35),11 (3.63),262 (10.35),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.2,0.1,700,200,345 (7.56),22 (2.28),155 (7.56),0.69 (0.02),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.2,0.1,700,250,345 (7.56),22 (2.28),155 (7.56),0.69 (0.02),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.2,0.1,700,500,346 (7.13),22 (2.3),154 (7.13),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.2,0.1,700,750,346 (6.61),22 (2.3),154 (6.61),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.2,0.1,700,1e3,346 (6.93),23 (2.17),154 (6.93),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.2,0.1,1e3,200,418 (8.38),41 (7.5),82 (8.38),0.84 (0.02),0.93 (0.01),0.87 (0.02),0.86 (0.01),0.88 (0.01)
0.2,0.1,1e3,250,418 (8.38),41 (7.5),82 (8.38),0.84 (0.02),0.93 (0.01),0.87 (0.02),0.86 (0.01),0.88 (0.01)
0.2,0.1,1e3,500,418 (9.21),41 (7.35),82 (9.21),0.84 (0.02),0.93 (0.01),0.87 (0.02),0.86 (0.01),0.88 (0.01)
0.2,0.1,1e3,750,419 (9.09),41 (7.56),81 (9.09),0.84 (0.02),0.93 (0.01),0.87 (0.02),0.86 (0.01),0.88 (0.01)
0.2,0.1,1e3,1e3,418 (9.21),41 (7.56),82 (9.21),0.84 (0.02),0.93 (0.01),0.87 (0.02),0.86 (0.01),0.88 (0.01)
0.3,0.001,375,200,233 (9.44),10 (2.88),267 (9.44),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.02)
0.3,0.001,375,250,233 (9.44),10 (2.88),267 (9.44),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.02)
0.3,0.001,375,500,234 (9.81),10 (2.88),266 (9.81),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.02)
0.3,0.001,375,750,234 (9.97),10 (2.88),266 (9.97),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.02)
0.3,0.001,375,1e3,235 (10.38),10 (2.95),265 (10.38),0.47 (0.02),0.96 (0.01),0.61 (0.01),0.63 (0.01),0.62 (0.02)
0.3,0.001,700,200,341 (7.07),22 (1.64),159 (7.07),0.68 (0.01),0.95 (0.01),0.77 (0.01),0.77 (0.01),0.79 (0.01)
0.3,0.001,700,250,341 (7.07),22 (1.64),159 (7.07),0.68 (0.01),0.95 (0.01),0.77 (0.01),0.77 (0.01),0.79 (0.01)
0.3,0.001,700,500,341 (6.66),22 (1.67),159 (6.66),0.68 (0.01),0.95 (0.01),0.77 (0.01),0.77 (0.01),0.79 (0.01)
0.3,0.001,700,750,342 (6.16),22 (1.67),158 (6.16),0.68 (0.01),0.95 (0.01),0.77 (0.01),0.77 (0.01),0.79 (0.01)
0.3,0.001,700,1e3,342 (6.46),23 (1.3),158 (6.46),0.68 (0.01),0.95 (0.01),0.77 (0.01),0.77 (0.01),0.79 (0.01)
0.3,0.001,1e3,200,414 (8.71),41 (6.98),86 (8.71),0.83 (0.02),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.3,0.001,1e3,250,415 (8.44),41 (6.98),85 (8.44),0.83 (0.02),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.3,0.001,1e3,500,415 (9.12),41 (6.76),85 (9.12),0.83 (0.02),0.93 (0.01),0.86 (0.02),0.85 (0.01),0.87 (0.01)
0.3,0.001,1e3,750,415 (8.85),41 (6.95),85 (8.85),0.83 (0.02),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.3,0.001,1e3,1e3,415 (8.97),41 (6.95),85 (8.97),0.83 (0.02),0.93 (0.01),0.86 (0.01),0.85 (0.01),0.87 (0.01)
0.3,0.01,375,200,235 (9.04),10 (2.88),265 (9.04),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.3,0.01,375,250,236 (8.91),10 (2.88),264 (8.91),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.01)
0.3,0.01,375,500,237 (9.86),10 (2.88),263 (9.86),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.01,375,750,237 (9.98),10 (2.88),263 (9.98),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.01,375,1e3,238 (10.32),10 (2.95),262 (10.32),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.01,700,200,345 (6.72),22 (1.64),155 (6.72),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.01,700,250,345 (6.72),22 (1.64),155 (6.72),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.01,700,500,346 (6.5),22 (1.67),154 (6.5),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.01,700,750,346 (5.98),22 (1.67),154 (5.98),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.01,700,1e3,346 (6.3),23 (1.3),154 (6.3),0.69 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.01,1e3,200,421 (7.37),41 (6.98),79 (7.37),0.84 (0.01),0.93 (0.01),0.87 (0.01),0.86 (0.01),0.88 (0.01)
0.3,0.01,1e3,250,421 (7.37),41 (6.98),79 (7.37),0.84 (0.01),0.93 (0.01),0.87 (0.01),0.86 (0.01),0.88 (0.01)
0.3,0.01,1e3,500,422 (7.97),41 (6.76),78 (7.97),0.84 (0.02),0.93 (0.01),0.87 (0.01),0.86 (0.01),0.88 (0.01)
0.3,0.01,1e3,750,422 (7.8),41 (6.95),78 (7.8),0.84 (0.02),0.93 (0.01),0.87 (0.01),0.86 (0.01),0.88 (0.01)
0.3,0.01,1e3,1e3,422 (7.97),41 (6.95),78 (7.97),0.84 (0.02),0.93 (0.01),0.87 (0.01),0.86 (0.01),0.88 (0.01)
0.3,0.05,375,200,236 (9.04),10 (3.11),264 (9.04),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.05,375,250,237 (8.91),10 (3.11),263 (8.91),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.01)
0.3,0.05,375,500,238 (9.86),10 (3.11),262 (9.86),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.05,375,750,238 (9.98),10 (3.11),262 (9.98),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.05,375,1e3,239 (10.32),10 (3.21),261 (10.32),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.05,700,200,347 (7.6),23 (1.79),153 (7.6),0.69 (0.02),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.05,700,250,347 (7.6),23 (1.79),153 (7.6),0.69 (0.02),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.05,700,500,348 (7.13),23 (1.73),152 (7.13),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.05,700,750,348 (6.61),23 (1.73),152 (6.61),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.05,700,1e3,348 (6.89),23 (1.52),152 (6.89),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.05,1e3,200,424 (7.79),41 (7.5),76 (7.79),0.85 (0.02),0.93 (0.01),0.87 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.05,1e3,250,424 (7.79),41 (7.5),76 (7.79),0.85 (0.02),0.93 (0.01),0.87 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.05,1e3,500,425 (8.56),42 (7.29),75 (8.56),0.85 (0.02),0.93 (0.01),0.87 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.05,1e3,750,425 (8.43),42 (7.48),75 (8.43),0.85 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.05,1e3,1e3,425 (8.56),42 (7.48),75 (8.56),0.85 (0.02),0.93 (0.01),0.87 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.1,375,200,237 (9.57),11 (3.11),263 (9.57),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.3,0.1,375,250,237 (9.42),11 (3.11),263 (9.42),0.47 (0.02),0.96 (0.01),0.62 (0.01),0.63 (0.01),0.63 (0.02)
0.3,0.1,375,500,238 (10.33),11 (3.11),262 (10.33),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.1,375,750,239 (10.43),11 (3.11),261 (10.43),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.1,375,1e3,240 (10.69),11 (3.21),260 (10.69),0.48 (0.02),0.96 (0.01),0.62 (0.01),0.64 (0.01),0.63 (0.02)
0.3,0.1,700,200,348 (8.04),23 (1.79),152 (8.04),0.7 (0.02),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.1,700,250,348 (8.04),23 (1.79),152 (8.04),0.7 (0.02),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.1,700,500,349 (7.57),23 (1.73),151 (7.57),0.7 (0.02),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.1,700,750,349 (7.05),23 (1.73),151 (7.05),0.7 (0.01),0.95 (0.01),0.78 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.1,700,1e3,349 (7.31),23 (1.52),151 (7.31),0.7 (0.01),0.95 (0.01),0.77 (0.01),0.78 (0.01),0.8 (0.01)
0.3,0.1,1e3,200,426 (7.99),42 (7.6),74 (7.99),0.85 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
0.3,0.1,1e3,250,426 (7.99),42 (7.6),74 (7.99),0.85 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01)
